variable,qv,sig
X1,0.487742656345061,5.54359780302605e-10
X2,0.63741033154408,5.47910938841767e-10
X3,0.0627607626400192,3.11124903618065e-10
X4,0.317554315807475,3.13758352632476e-10
X5,0.519969519508289,1.2453760245279e-10
X6,0.154547201371067,3.02772473759205e-10
X7,0.672423525303453,2.58696841726191e-10
X8,0.121681657338693,6.77032652163234e-10
X9,0.566076728961407,4.17471834879279e-10
X10,0.368770258353998,2.13675854787709e-10
X11,0.100518081126652,2.1048163212356e-10
X12,0.179066911180075,6.28160301552327e-10
X13,0.181500919391304,3.28022276008255e-10
X14,0.0735436174776237,5.47397349670575e-10
