"Mean","itv"
"X1.1",2.38559283472987,"[23.2,91.2]"
"X1.2",2.76668625883941,"(91.2,246]"
"X1.3",2.28889261716091,"(246,401]"
"X1.4",1.92254678411391,"(401,556]"
"X1.5",1.57393624080802,"(556,711]"
"X1.6",1.24497471838848,"(711,866]"
"X1.7",0.730341429790551,"(866,2.1e+03]"
"X2.1",2.33724574954081,"[0,1.09]"
"X2.2",3.21137460500986,"(1.09,4.54]"
"X2.3",2.48511386201933,"(4.54,7.99]"
"X2.4",1.75421470779681,"(7.99,11.4]"
"X2.5",1.31303922649038,"(11.4,14.9]"
"X2.6",0.957727118701681,"(14.9,18.3]"
"X2.7",0.752520973060156,"(18.3,50.7]"
"X3.1",1.80177763774279,"[590,697]"
"X3.2",2.02930465901894,"(697,824]"
"X3.3",1.92284017550918,"(824,973]"
"X3.4",2.95530080692143,"(973,1.15e+03]"
"X3.5",3.17534800228183,"(1.15e+03,1.36e+03]"
"X3.6",1.8146446734,"(1.36e+03,1.6e+03]"
"X4.1",0.543983541634409,"[6.61,11.1]"
"X4.2",0.71466692565,"(11.1,12.7]"
"X4.3",1.42939321345377,"(12.7,13.9]"
"X4.4",1.86925737258361,"(13.9,14.8]"
"X4.5",1.95445594178362,"(14.8,15.5]"
"X4.6",2.58269829101461,"(15.5,16]"
"X4.7",3.28150408623629,"(16,16.8]"
"X5.1",0.523156255290221,"[748,953]"
"X5.2",0.58579155015486,"(953,1.04e+03]"
"X5.3",0.781073541692,"(1.04e+03,1.1e+03]"
"X5.4",1.58209916979188,"(1.1e+03,1.14e+03]"
"X5.5",2.66209445271731,"(1.14e+03,1.18e+03]"
"X5.6",2.29649064675652,"(1.18e+03,1.2e+03]"
"X5.7",2.65846450831994,"(1.2e+03,1.25e+03]"
"X6.1",1.84795439276027,"[-810,5.99e+03]"
"X6.2",2.38857495493202,"(5.99e+03,6.56e+03]"
"X6.3",2.61599547369952,"(6.56e+03,7.14e+03]"
"X6.4",2.65556464296891,"(7.14e+03,7.71e+03]"
"X6.5",2.3448130530501,"(7.71e+03,8.28e+03]"
"X6.6",1.82228552796816,"(8.28e+03,8.85e+03]"
"X6.7",0.749361491793233,"(8.85e+03,9.33e+03]"
"X7.1",1.92293016999769,"[0,401]"
"X7.2",2.33834898198561,"(401,496]"
"X7.3",2.79011760613667,"(496,590]"
"X7.4",2.85178949541763,"(590,685]"
"X7.5",2.47292900327681,"(685,780]"
"X7.6",1.4651968544872,"(780,875]"
"X7.7",0.627543170322363,"(875,1.09e+03]"
"X8.1",2.278155269562,"[0,0.0906]"
"X8.2",2.25215922068451,"(0.0906,0.373]"
"X8.3",2.30542566445326,"(0.373,0.467]"
"X8.4",2.19104932555256,"(0.467,0.652]"
"X8.5",2.29538993001983,"(0.652,1.18]"
"X8.6",2.25146830639943,"(1.18,3.15]"
"X8.7",2.12616050278925,"(3.15,47.7]"
"X9.1",0.899762218193905,"[0,0.539]"
"X9.2",2.38451624272332,"(0.539,1.42]"
"X9.3",2.86034674734489,"(1.42,2.36]"
"X9.4",2.66383217465396,"(2.36,3.25]"
"X9.5",2.4863457562843,"(3.25,4.23]"
"X9.6",2.36518067839482,"(4.23,5.92]"
"X9.7",2.22106567861509,"(5.92,343]"
"X10.1",1.36118363064876,"[130,490]"
"X10.2",3.07139272642607,"(490,701]"
"X10.3",2.44279374931631,"(701,939]"
"X10.4",2.46042674345503,"(939,1.12e+03]"
"X10.5",2.14645507539382,"(1.12e+03,1.54e+03]"
"X10.6",2.22173955511162,"(1.54e+03,2.35e+03]"
"X10.7",2.17685347855221,"(2.35e+03,6.66e+04]"
"X11.1",2.36315931768973,"[0,5.49e+03]"
"X11.2",2.19227380024955,"(5.49e+03,1.1e+04]"
"X11.3",2.12023150071381,"(1.1e+04,1.65e+04]"
"X11.4",1.99767996518343,"(1.65e+04,2.2e+04]"
"X11.5",1.68591201813534,"(2.2e+04,2.74e+04]"
"X11.6",1.32238100423377,"(2.74e+04,3.29e+04]"
"X11.7",0.700427559647059,"(3.29e+04,3.84e+04]"
"X12.1",2.4071811999289,"[0,926]"
"X12.2",2.41096537810163,"(926,2.03e+03]"
"X12.3",2.31496980241519,"(2.03e+03,3.32e+03]"
"X12.4",2.19151135482578,"(3.32e+03,4.91e+03]"
"X12.5",1.91236481513448,"(4.91e+03,6.96e+03]"
"X12.6",1.5200727032442,"(6.96e+03,9.86e+03]"
"X12.7",0.932942632402098,"(9.86e+03,1.73e+04]"
"X13.1",2.3056567931337,"[166,7.26e+03]"
"X13.2",2.34473843153032,"(7.26e+03,1.44e+04]"
"X13.3",2.34619204330475,"(1.44e+04,2.15e+04]"
"X13.4",2.22667247126827,"(2.15e+04,2.86e+04]"
"X13.5",1.7967098928321,"(2.86e+04,3.57e+04]"
"X13.6",1.58796171976736,"(3.57e+04,4.27e+04]"
"X13.7",0.755620616111111,"(4.27e+04,4.98e+04]"
"X14.1",1.77300242810211,"[0,311]"
"X14.2",2.57590823004392,"(311,5.05e+03]"
"X14.3",2.37519107231711,"(5.05e+03,9.78e+03]"
"X14.4",2.16983582010338,"(9.78e+03,1.45e+04]"
"X14.5",2.02945470547217,"(1.45e+04,1.93e+04]"
"X14.6",1.85811632275882,"(1.93e+04,2.4e+04]"
"X14.7",1.52079090640239,"(2.4e+04,5.74e+04]"
